label,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8,feature 9,feature 10,feature 11,feature 12,feature 13,feature 14,feature 15,feature 16
0,0.402612,-1.537206,-1.090471,0.941957,-1.73621,2.22247,-0.366188,1.396585,-1.477214,-1.255534,0.276298,0.379474,0.205956,-1.096322,-0.81204,-1.065269
0,0.864834,-1.144889,-0.184133,1.955017,0.997657,0.316725,0.895966,1.775943,0.245396,-0.654169,0.263778,-0.313908,0.937655,-1.707853,-1.001824,0.391401
0,-0.217696,-0.02343,-1.386235,1.11291,-0.86094,1.36131,0.367926,0.162327,-1.174574,0.859984,-0.657341,0.898213,-1.161175,-0.468817,-0.575979,-0.578547
0,1.527511,1.035387,-1.798804,2.347158,0.169936,-0.235536,1.615945,0.659596,-0.652928,-0.560281,-0.408127,-0.136612,0.28422,-0.803868,-0.063054,-0.16221
0,-0.56216,-0.514827,0.483718,0.559085,-1.070885,1.002094,0.500774,1.707511,-0.059067,-1.43328,-0.699771,2.003085,-1.193912,-1.40731,0.319596,-0.69244
0,0.914206,-1.588987,0.089111,1.132436,-0.525701,1.227086,1.269846,-0.851094,-0.120372,-0.616793,-2.037726,-1.186692,0.183436,-0.853054,0.584249,-0.409247
1,-1.158657,0.912051,-0.206592,-0.304052,2.027073,-0.169995,1.029571,0.037273,-1.865264,0.262218,-0.933407,0.689138,2.488828,2.713565,0.163068,-0.975459
0,1.397866,0.968825,-1.183481,1.708362,-1.894158,0.802062,-0.391345,2.872737,-0.822155,-2.279607,0.544554,-0.335953,0.280277,-1.187133,-2.164026,0.652313
1,-1.030026,0.912671,-1.275502,0.714719,0.619006,-0.040996,0.327749,-1.420455,-0.806565,1.194743,-1.08069,-0.111081,1.479335,0.606709,1.570607,2.96524
1,0.776398,0.727518,-1.32709,-0.698401,0.020091,0.41097,-0.004188,-0.800905,-1.47414,-0.300479,1.48927,1.28945,-1.166553,1.756337,0.824853,-1.116981
0,-1.531794,2.267878,-2.310128,-0.117967,1.336312,-0.76698,0.860035,1.182232,-1.210766,0.268252,-1.556032,1.438602,-2.324962,0.693864,-0.901058,-0.815151
0,-0.52489,-0.960326,-1.589194,0.839214,1.053807,-1.721429,3.067062,0.561478,-0.358555,-1.062986,-0.835546,0.40916,0.113325,-0.594077,0.194908,0.023445
1,-0.970239,-0.063497,-0.121736,1.121313,1.07741,-0.565754,-0.695023,-0.844748,1.380295,1.122418,0.928068,0.110057,-0.468214,-3.832542,-0.253474,-0.317627
0,0.161982,0.436522,-1.065477,1.395963,-1.032561,-1.019804,-0.135468,1.042253,0.309318,-0.759213,-0.602195,1.127796,-1.313126,-0.489987,0.725723,1.053808
1,-0.029284,-0.163984,-0.355227,1.635101,-2.263421,2.65956,0.39456,-2.53042,1.275627,-1.56517,-0.511948,1.06089,0.706298,-0.934001,-1.248176,-0.946451
1,-1.824228,-0.372401,-0.344181,-0.32677,-0.216435,-0.241189,-0.225517,0.219424,-0.961277,-0.529904,0.7826,-0.706664,-1.434979,-2.432895,-1.881076,-0.382373
1,0.387662,1.098177,0.067024,-0.836286,-0.222583,0.589354,-0.577489,0.895259,-0.162015,0.043374,1.216241,0.906927,0.168383,3.225626,1.00639,-1.381247
0,-0.576428,0.337782,1.537745,0.491215,1.467386,-0.88197,-1.811675,1.897087,-1.284459,-0.779025,1.979038,-1.153057,1.506879,-1.830531,0.946676,-1.115966
1,-0.409802,0.259787,3.056795,1.988967,0.333512,1.583813,-2.036113,-1.855578,1.009593,-0.328504,0.609837,1.118668,-1.063742,-3.016715,-0.251822,-1.001206
0,-0.531455,-1.334138,-0.931202,3.765351,0.176479,-0.250023,0.58864,1.640486,-0.663554,0.363167,-0.200566,-0.336499,0.567592,-3.356052,-1.083725,-0.91756
1,-0.268479,0.078398,-0.852274,-1.554216,-2.417968,-0.679558,-0.626808,-0.46496,0.319842,1.758905,-0.284916,-1.347591,0.346865,1.606264,1.60982,0.092623
0,-0.638019,-0.707773,0.671729,1.351837,-1.325799,-0.234505,-0.189834,2.418357,2.448735,-0.269894,0.658919,0.89108,0.63292,-1.439488,-1.929899,-1.377144
1,-0.708645,1.019962,0.117249,1.592022,-1.289321,0.114334,0.014857,-1.160742,0.359471,0.757165,-1.105301,-1.314968,-0.983803,0.381539,1.421922,-1.922651
0,0.103119,1.358215,-0.735445,0.082208,0.430134,2.531847,-0.454996,-0.981353,0.348541,-0.579985,0.520275,-0.404363,0.057417,-1.22299,-0.396788,0.672891
0,0.153021,1.58443,0.566044,1.737382,0.99086,-1.505935,-1.321811,0.197413,-0.440244,0.121052,-1.246312,0.074515,0.12598,-1.227517,0.625461,-0.039149
0,0.084907,-0.261214,-1.172428,0.417045,0.996276,0.011383,-3.332878,0.712849,-1.124945,-0.46547,0.130532,-0.268865,-1.586765,-0.52164,-0.212668,-1.029194
0,-0.011965,0.841432,1.462252,1.516522,-1.035184,0.645774,0.298613,0.564978,-1.202978,-0.579997,-1.16412,-1.90413,0.969895,0.231192,0.347764,-1.616428
1,0.481143,0.190342,0.828695,1.078288,-1.989711,-0.466161,-0.934439,-2.810336,-0.850004,-0.169112,0.210645,-1.236034,0.571799,-3.221318,2.78937,0.273378
1,1.020574,-1.058185,-1.373037,-1.328547,1.271439,0.492317,-0.099916,-0.868102,0.349641,0.944628,0.521719,-1.488357,-2.100422,2.781863,-0.13674,0.383029
1,0.097377,0.9117,-0.917507,-0.418776,-1.416866,-1.95074,0.3673,0.18968,0.856881,-1.288694,-0.703543,-0.545609,0.105539,-0.712039,0.412859,-0.272011
0,0.831721,0.415316,-1.064052,-0.988606,0.162619,-0.303298,0.245508,-2.266851,0.65773,-1.05122,0.443401,1.527068,0.48646,-1.82939,0.173527,-0.9481
0,0.402414,0.36997,0.846406,1.430208,-1.354717,-1.076021,-0.326602,1.738634,-1.125504,1.263646,-0.97633,0.402922,0.360646,0.078399,0.996698,0.770542
0,-2.211707,1.347374,0.404937,-1.235024,1.183532,-1.09556,0.073484,0.536184,0.313987,-0.245042,-1.087602,1.380889,-0.961924,0.597748,-2.029285,-0.846796
0,-1.837529,1.412391,0.817648,0.325345,0.958296,0.302895,0.312562,-0.239453,-0.336921,-2.305554,0.161818,-2.568764,-0.292295,0.31174,-0.394751,1.596773
0,0.08166,-0.037959,-0.153393,0.304493,1.232989,1.634445,-1.341907,1.112361,-1.788548,0.710205,-0.248979,0.872484,0.67191,-0.585628,0.155087,0.545494
1,-1.23937,1.159593,0.379063,-1.89247,-0.594588,0.058513,-0.612974,-1.213258,0.093355,-0.984982,1.128025,1.612059,0.083126,1.014591,-0.447563,-1.174555
1,-1.2043,-0.288356,1.741805,0.885213,-1.875679,0.696152,-0.858522,-0.90229,1.488539,-0.683642,0.987823,-0.147729,-1.713778,0.447687,0.368943,-1.329822
0,0.96098,0.507654,-0.101577,-0.683897,-0.694387,-0.898594,0.220332,-0.671028,0.175295,1.250703,0.141409,-0.691282,1.228847,-3.641436,-1.407646,0.292165
1,-0.518795,-0.43778,0.619584,2.115606,-0.928649,1.814762,-0.845346,-1.437638,0.514468,-1.714236,0.753394,-1.614594,-1.857627,0.25127,0.991134,0.243903
1,1.829161,-0.203919,1.258344,-1.312549,0.458783,0.797104,2.204117,-1.18768,0.335699,-0.438554,-0.461815,-0.24781,0.178164,1.245071,0.22222,1.281455
1,-0.164839,0.826205,0.448045,-1.886439,-0.60873,0.734545,-0.546202,-0.823513,0.245302,-0.048851,-0.557224,-0.265877,-1.245139,1.631517,-0.130366,0.417342
1,1.375222,-0.306895,1.398721,-0.243014,0.005195,1.350844,0.691505,-0.810334,-0.810581,0.499118,-0.0035,-0.002109,0.738819,0.849203,-0.419558,1.488094
0,-0.301044,-0.031724,-0.377701,0.127313,-1.475615,0.787212,1.213928,2.038357,-2.181187,0.576552,-2.186248,2.555012,-0.730271,-1.944514,0.229451,0.036949
1,-1.15029,-1.22144,0.344808,-0.669549,0.292968,-0.680096,0.522386,-1.650097,1.297964,-0.268368,2.040531,-0.187705,0.049967,0.10566,0.708008,-0.525188
1,0.444571,0.186903,-0.071122,1.304078,-0.843241,0.830856,0.090173,-1.267762,1.372618,1.047908,-0.166714,-1.427173,1.266636,-1.174352,1.222408,0.890609
1,1.428529,-0.524654,0.572058,-0.778753,-0.343851,-0.53298,2.124751,-0.679591,0.40399,-0.717106,-2.122981,-1.085085,-0.649525,1.582301,0.401182,0.108913
0,-1.374524,-0.05633,0.515911,-1.467961,1.692753,-0.469391,-1.472694,1.414641,-1.477119,-0.585515,-0.915059,0.151445,-0.381426,1.017227,0.159011,1.476426
1,-0.725307,-0.361223,-0.514672,0.461288,-2.533298,1.078575,0.971037,-0.765702,-1.189031,1.88227,-1.30203,-1.761264,0.605585,0.904917,1.063774,0.740249
0,0.691093,0.501801,-0.27937,0.935388,1.622847,0.352894,0.404556,2.331581,0.591248,-0.250173,-0.395665,0.371978,0.615793,-1.173019,-0.006401,-0.336056
0,1.880851,0.021301,0.426547,1.258298,1.394182,-0.494016,-1.616988,1.971375,-0.609209,0.069678,1.285639,-0.567605,0.197011,-2.430114,-1.689765,-0.96141
0,1.172901,1.160856,-0.386432,-0.373422,1.137386,-0.236128,-0.391726,0.49542,0.674814,0.28134,-0.072734,0.406146,0.460343,-0.103452,-0.687082,-0.22595
1,-1.324034,-1.211233,0.382408,1.395564,-1.649609,-0.204027,-0.497847,-2.216849,1.553423,0.396287,0.403461,0.635052,1.138853,-1.748361,0.680891,0.939232
1,0.465197,-1.148431,-1.920328,1.070574,-0.80277,0.112834,0.706419,-1.068092,-1.19116,1.066981,-0.170739,0.363589,0.171994,-1.337129,0.327254,0.155991
0,0.340934,-1.205748,-2.112587,-0.049263,0.876957,-0.766494,-1.66494,0.469017,-1.448366,0.521664,-0.99032,-0.460326,0.181996,0.743938,2.664802,-1.479904
0,1.903808,-0.017788,-0.43072,0.945089,-1.411537,-0.446386,0.908432,1.094727,-0.505952,-0.704182,-0.641171,0.553832,-1.186301,-1.299189,0.135372,-1.960268
1,-0.935172,-1.43705,-0.077414,1.180484,-0.412151,1.114075,-0.146476,-1.340719,0.05477,-1.289431,-0.528027,0.450371,-0.782299,-2.338801,2.03773,0.338762
1,0.619824,-0.797067,0.303427,-2.162266,-0.46822,-2.281722,-1.423325,-0.948421,0.885684,-0.478701,1.107506,-0.238238,-1.87952,1.610582,0.539424,-0.288374
0,1.923683,0.307085,0.421616,1.470186,-0.238955,-0.94705,-1.048275,0.21321,-0.134741,2.641834,0.248252,-1.109682,-0.381854,-0.318905,1.103174,-1.075301
1,2.089322,1.329174,0.750659,2.654364,-2.737751,-0.05647,0.346108,-3.064179,-0.634013,-0.013924,1.065665,-0.400726,0.08138,0.815524,-0.528369,1.611566
1,1.522392,0.615359,1.538616,2.438667,-0.824121,0.753467,-1.957011,-3.247467,-1.177114,-0.322362,1.568105,1.689979,0.820904,-3.198335,-0.707248,1.606675
1,1.502866,1.525465,-0.997312,-0.794096,-1.89591,0.242408,0.10406,-1.458473,2.899866,1.152229,0.043659,-1.049306,-1.014654,-0.122707,1.594501,1.583164
0,0.083831,-1.331943,0.030069,2.371244,-0.71637,0.24408,1.058716,2.329646,0.311914,-0.484569,0.855437,0.063679,0.149324,-0.110424,-0.659244,1.162854
0,-1.027992,0.951757,0.832607,1.873106,0.798331,-0.244396,-1.43846,0.839797,0.042789,0.429222,-1.91351,-0.045816,0.011093,-1.956558,1.395213,-0.491014
0,1.43832,1.615001,-0.315515,1.628341,-1.175842,-0.180357,0.68676,2.357337,0.174528,0.775823,0.21567,1.084904,-0.700099,-0.570425,-1.932039,0.706507
1,-0.653644,-2.996921,0.84081,-0.27963,-1.878708,-2.321812,0.47642,-1.10586,-1.642153,2.138733,-0.498075,-0.031017,1.28584,0.513665,0.401819,-0.702225
1,-1.468843,-1.892167,-0.802593,-1.922566,-3.218865,-1.386897,0.902051,-0.074816,0.513353,0.087274,0.141138,1.708513,0.486342,2.483705,0.463291,0.942527
1,-0.45677,1.507147,0.335439,1.883237,-0.346846,1.33868,0.947143,-0.937422,-0.611407,0.320962,2.143086,0.807055,-0.522191,-0.088182,-0.96729,-0.597695
0,0.446155,0.102082,0.597626,0.406259,-1.648017,-0.606166,-0.322438,1.321005,0.488471,-1.941967,0.474268,-0.306805,0.987329,-2.310222,0.599472,-1.219782
1,-0.424526,0.55413,-0.90717,0.176325,-1.603732,0.87484,-0.729052,-1.537994,-0.297142,0.592401,-1.208539,-1.56592,-0.335473,-0.655968,-0.924366,-0.269495
1,-1.353578,1.738954,-1.656299,1.183568,-3.160384,-0.167613,-0.710814,-0.990748,1.059016,-0.629171,1.317744,0.548656,1.838342,-1.450586,-0.33241,0.697806
1,0.813788,-1.026337,-1.118475,0.552038,1.900902,1.228211,0.097999,-0.347974,1.523686,0.738798,-0.025629,1.272817,0.260106,1.393318,2.387838,-1.269801
1,-0.462461,1.302931,-1.137745,-2.110696,-4.719015,0.506732,-2.639779,-1.366243,-1.071754,-1.419521,-1.384763,-0.424856,-0.130444,0.120129,0.687815,1.527036
0,-0.46954,-1.179151,0.291444,0.696138,-1.331682,-0.944191,0.631955,0.557322,-0.178727,-0.073826,-0.745156,-0.984487,-0.665564,-1.011898,1.171787,0.848745
0,-0.197013,0.497477,0.854632,1.452585,-0.732451,0.32102,0.33548,1.17345,0.539462,-0.417337,1.256974,-0.474246,-0.411707,-0.506685,1.166426,-0.729935
0,-1.474325,-1.220181,-0.228466,0.307124,1.123723,-0.77565,-0.764011,1.320036,-1.011744,0.39976,-0.625726,0.465359,-1.438018,0.407504,0.014966,-1.979663
1,-1.609309,1.059444,-1.124035,0.936264,-1.776463,-0.35314,1.074949,-1.499183,1.801339,1.359408,0.599623,-0.829196,-0.424449,-0.962391,-0.351045,0.06583
0,0.582329,-0.26583,0.710448,2.725793,-2.312895,1.39018,0.793794,3.722236,-3.095049,2.207366,-0.66347,-0.140321,-0.422975,0.441768,-0.233921,-0.059301
1,1.364917,-0.50259,0.0564,-1.583259,1.637795,0.922987,0.474495,-0.836112,1.047731,-0.551411,-0.072728,0.592267,-0.296319,2.05158,0.534055,0.234824
1,-1.908316,-0.748199,-0.15419,1.593333,-1.230617,-2.368891,1.486115,-1.790134,1.615547,-1.068032,-0.25748,-1.051447,-2.337765,-1.104201,-0.945916,-0.918957
0,-0.917038,-1.573539,1.228693,0.281008,0.307469,0.233746,-0.020618,-0.835929,0.537112,0.659582,0.17751,-1.662518,0.398201,0.193405,-1.307536,1.863726
1,0.998932,0.805453,-0.024934,0.696408,0.309919,-1.641339,0.643808,0.501926,3.15293,0.802706,0.136445,-1.561106,0.479425,-0.496707,-0.157509,-1.211546
0,0.564287,-1.385833,-0.676912,0.752588,-1.610591,-1.564264,0.213073,2.628524,1.080839,-1.270125,0.219052,-0.562455,-0.969107,-1.262688,0.474708,-1.592131
0,0.250595,0.041552,-1.537755,1.389948,-2.258037,0.827803,1.085469,2.215525,-1.137405,-1.664697,-0.173905,0.125906,-0.332032,-0.912246,-0.227565,1.249024
1,0.123771,0.288139,0.928189,2.219758,-1.69039,-1.264449,-0.219852,-2.467638,-0.006689,1.37841,0.667742,0.381563,0.150254,-0.581056,-0.51183,-1.339967
1,-1.133779,0.255435,1.004825,3.099526,-2.421872,1.242929,-0.210658,-3.1363,1.851734,0.40055,-1.011353,-0.943934,0.95314,1.080865,-1.131093,1.18077
0,0.847105,0.315693,-0.292873,3.068014,-0.972508,-1.907854,-1.216011,2.886005,-1.668068,0.66653,-0.169152,0.660718,-0.860203,0.123317,-0.50133,0.385225
1,0.151532,-0.225243,-0.573836,-1.305549,-3.998331,1.06609,0.746693,-0.72095,0.457098,-0.596328,1.072747,-0.197233,-0.033039,0.910938,0.826967,1.153316
1,-1.689807,0.610613,0.357045,-0.278614,-2.019979,-0.33468,1.192742,-0.005181,0.120714,-0.994085,-0.170468,-1.091231,2.002442,0.156778,2.112563,-1.009108
1,0.183212,-0.06036,1.144436,-0.397722,-0.98058,-1.150437,1.317724,-0.166888,0.08316,-1.296272,0.328597,-0.902269,0.589981,2.337157,-0.436513,-0.974741
1,-0.533989,-0.426987,-2.025522,0.865588,-0.085791,-2.034676,-0.723089,-0.048061,0.354037,0.956162,-0.58268,1.884241,1.564723,-0.746104,-0.523018,-0.361796
1,-1.301219,-1.400715,-1.385146,1.677724,-1.599178,0.674916,-0.322494,-0.94784,1.115052,0.259404,0.242273,-0.104361,-0.779751,1.518173,2.360817,1.443524
1,0.545192,-0.327489,2.128542,0.586398,-0.013547,1.526803,-0.64017,-0.361095,-0.69074,-0.581261,1.591171,-1.68015,-0.47249,0.900156,0.094145,-1.42584
0,-0.352336,1.264906,-0.720791,2.59418,1.14334,0.015357,-0.818612,2.681155,-0.07069,-0.408247,-1.552244,-2.078981,-0.120233,-3.743398,-0.724945,0.25769
1,-0.834066,-0.20739,-0.29925,1.549171,-0.825081,1.369321,0.129574,-0.880806,-0.365755,0.133186,-0.16585,-0.000341,-0.085637,0.152081,-0.364996,-0.680962
0,0.400757,-0.026701,0.399547,1.570348,-1.309313,-0.144769,0.453837,1.298657,-0.328155,0.191026,-0.084344,0.519123,-1.563626,-1.039797,-1.426937,-2.249721
1,-0.080328,0.161142,-0.33123,1.430989,-0.147469,0.114652,0.727842,-2.221034,0.693701,0.365617,0.967136,-0.440516,0.525987,-4.134622,1.620955,0.325633
0,-1.001607,0.649301,0.172975,1.214113,-0.607341,0.095538,0.335075,1.9326,0.524977,1.100319,-0.770583,-0.696007,0.280613,-0.920654,-1.45491,-0.681895
0,1.482341,-0.044914,0.562447,1.432883,1.256195,0.1768,0.848822,1.707702,1.188621,-0.003104,-0.320141,2.335968,0.150315,-1.804434,-0.476614,0.748875
1,-0.100264,0.781224,-0.36998,2.427171,-1.285949,1.885722,-1.58254,-1.744243,-0.460842,-1.406466,0.761798,1.113093,0.852029,0.849849,0.21878,-0.164853
1,-0.593001,0.831473,-0.454116,2.805671,0.429671,1.021735,-2.418907,-2.450546,1.269733,-0.99533,0.39821,0.76536,-1.148901,-2.666107,0.428657,2.796286
1,1.627383,0.325899,-0.336732,2.211493,-0.404152,0.502287,-0.796784,-2.679438,0.134445,-0.254509,-0.854451,0.00028,0.87077,-3.102109,-0.92249,-0.462195
1,-2.666489,-0.521487,0.270617,1.304219,-0.884232,-0.23733,0.817631,-0.832319,0.970234,0.996146,0.627156,-0.525666,0.212588,-0.212172,-0.988659,0.486272
0,0.207082,-0.122757,1.971166,1.692123,1.233631,2.205311,0.731543,1.750015,-0.662467,-1.014961,-0.829257,0.403747,-0.713865,-2.241412,-0.254492,0.003983
1,-0.476588,-0.884812,0.486998,-1.785379,-3.354595,0.012858,1.64105,-0.815354,0.247199,-0.618073,0.199206,0.52273,0.844023,0.923869,-0.271169,0.772636
1,-0.79505,1.11607,-2.345592,-1.119459,-2.997029,-1.24948,-0.200849,-1.938481,0.387946,-0.026656,0.200781,-0.512683,-0.499051,-0.411327,0.098749,1.333937
0,1.245876,-1.375635,0.418218,1.400671,2.076058,-1.117231,0.074575,3.514734,-0.200155,-0.601848,-1.284755,-1.375256,-1.034709,-1.934513,-0.043688,0.91061
0,-1.145234,1.848784,3.049111,-0.412271,-1.209213,0.862088,0.200601,-1.246927,1.872069,-0.862244,-2.137415,-1.500356,1.814927,-1.961215,-0.171939,-0.501597
0,-0.793623,-1.393845,0.140957,0.06331,-0.11853,-0.991766,-0.429572,-0.492968,-0.596534,1.066919,-0.501085,1.060745,1.20749,-2.59276,0.424969,1.080933
1,-0.373589,0.593093,-0.019963,-1.347548,0.508819,-0.827991,-0.193128,-0.878871,-1.026888,0.544309,-0.451548,-0.923486,0.182684,2.608615,0.256967,-1.330529
0,-1.60665,-0.354273,1.457138,-0.588956,-1.688448,-0.155378,2.405398,0.724843,0.658325,0.112052,1.07334,-0.086174,-1.070106,-1.741074,-1.035458,-0.612161
0,-0.375322,0.347187,0.491334,-0.791661,-0.798849,0.843241,1.707097,-0.469255,0.339987,-0.965004,0.763006,-0.69305,0.147668,-2.383927,1.615837,0.831899
0,-1.818181,-0.211717,0.800619,4.061772,0.88553,-0.043083,-1.316829,1.484126,0.120876,0.651955,0.949544,0.243293,-1.306013,-2.414745,0.957523,1.106805
0,-0.173226,1.112347,-1.875473,1.828477,-1.091688,-0.235281,0.144375,0.999272,0.535643,0.440108,1.383488,-1.908097,-0.257955,-0.070406,0.061107,0.436432
1,0.980648,-0.582052,0.370931,0.06414,-2.438023,-0.279256,-0.20751,-1.749124,1.189337,-0.509456,0.030664,-1.336199,-1.751428,-1.154329,1.031712,0.363294
0,0.499797,-0.519379,1.213628,0.040583,-0.937685,0.510773,0.214053,0.757218,-0.945819,-0.964236,-1.223859,-0.177696,0.456393,-2.348412,-0.36235,-0.896176
0,-2.069165,-0.545653,-0.234609,2.954574,-1.865564,2.808683,0.868861,3.100827,0.784797,-0.104176,-1.620059,0.014245,-1.102989,0.257118,0.64669,0.757478
1,-0.756966,0.746143,0.895857,0.39127,0.244102,-1.140976,0.091293,-0.437864,-0.912873,0.586084,0.657743,-0.445638,0.236948,1.033675,0.489107,0.71009
0,-1.265485,0.940858,0.751655,0.882324,-0.835198,-0.379713,-1.018541,1.029595,-0.152866,-0.325344,-0.640465,0.53108,-0.308001,-1.91068,-1.425692,-1.333131
1,-0.592775,-0.049398,-1.608925,1.107408,1.929935,0.759253,0.519571,1.202788,-1.501321,-1.093702,-1.126155,-1.005308,0.466284,-0.766336,1.635435,0.36211
0,0.301908,-1.201294,-0.172622,0.773558,-0.837499,0.535223,0.114828,0.06442,-0.786772,0.50412,-0.542436,0.098298,-2.356035,-0.938659,-0.830859,0.540793
0,-0.796018,0.539331,-1.224614,1.776107,-1.34164,-0.251285,0.995737,3.762341,-1.332001,0.228908,-0.347687,-0.214185,-1.328977,-0.273345,0.063927,-0.557732
1,1.57385,-0.688776,-0.49795,-2.323734,1.393474,0.494748,0.843639,-0.163096,0.270308,0.887433,-1.738496,0.603696,1.432255,3.19392,-1.778629,0.107466
1,-0.12701,1.35906,1.287884,-1.560289,-1.858118,-0.058786,-0.879855,-0.674039,-0.384206,0.238834,-0.51145,-1.754954,0.847349,1.443938,0.333133,-1.530128
0,0.029847,0.639943,-0.733174,-0.941782,1.068149,0.415014,-0.737429,-0.183488,-2.155338,0.264784,-0.353687,0.314575,0.63192,0.940845,-0.178354,-0.039989
0,0.060691,0.28065,0.791843,0.398019,-1.031638,0.26819,0.287116,0.781023,-1.025974,1.91215,0.213268,0.974509,0.819315,-1.937476,0.691946,-0.482158
1,1.497873,-1.084645,1.079572,-2.061771,-3.450518,0.128448,0.027015,-1.850431,-0.732827,2.034728,0.482797,0.399615,0.25381,-0.721341,-1.082873,1.673479
1,-0.697029,-0.840319,-1.098437,1.80366,-1.018032,-0.80664,0.718855,-0.395148,2.018278,0.221505,0.160799,0.940477,-1.566548,-0.129736,1.730566,-1.40515
0,-1.536854,0.617434,0.736974,4.170157,0.240428,0.29963,-0.469309,1.47792,-0.760896,0.886101,-1.021861,1.142918,-1.620378,-3.910395,1.063584,-1.279645
0,1.516959,-1.051608,0.183293,2.399855,0.872393,-0.879785,-0.556728,1.543133,-0.119408,0.74457,0.495343,-1.144312,-0.90435,-2.788598,0.826182,-1.073789
0,0.686647,0.418896,2.264633,-0.363665,-1.033551,0.40681,1.269933,0.458877,-0.033998,-0.050653,1.215205,2.48565,0.528231,-1.721412,-1.033594,-0.908687
0,-0.815066,-0.1029,0.396983,-0.48277,-1.386752,2.070458,0.699635,1.157881,0.253766,-0.98119,0.165823,0.523187,-2.015116,-2.925741,-0.361212,0.947733
1,-2.190936,0.334345,-1.370015,0.154689,-1.728093,0.256488,0.960312,-1.727479,-1.108451,1.135094,-0.295646,-1.318668,-0.830796,-3.137506,-0.29314,0.387482
0,1.288025,0.824346,-0.68365,1.422139,-0.764305,1.043728,-0.307607,0.691301,0.850955,0.669604,-0.283442,-1.295085,-0.080372,-1.042117,-1.475778,0.907085
0,-1.264624,0.777902,0.850233,1.226325,-2.309176,0.710253,-0.433164,2.350206,0.027273,0.940963,-1.474949,-0.468879,0.721172,-1.086757,-1.350505,1.395107
1,0.580136,-0.179982,0.823232,-1.090074,0.431828,-0.741605,-0.750815,-0.592289,1.617651,-2.002233,0.411894,-2.193995,0.256712,1.754874,0.628075,-0.328821
1,-0.80987,-1.160325,0.500308,4.122763,-1.300549,-0.109041,0.324442,-4.428151,-0.783363,-0.52834,-0.143526,-0.176749,-0.337731,-1.471028,-0.51916,-0.224325
